X,dilution,strain_2,sugar_concentration,tube_name,innoc_rep,time,media,replicate,carbon_source,strain_1,estradiol_concentration,Population,Frequency,generation,mean_FSC_A,mean_FSC_H,mean_FSC_W,mean_SSC_A,mean_SSC_H,mean_SSC_W,mean_FITC_A,mean_PE_Texas_Red_A,cv_FSC_A,cv_FSC_H,cv_FSC_W,cv_SSC_A,cv_SSC_H,cv_SSC_W,cv_FITC_A,cv_PE_Texas_Red_A,count,strains
31,10000,yJB077,5,Tube_037,1,1,BD_YNB,1,sucrose,yJB064,0,mCerulean,34.26,13,64870.8261212796,50443.7504378284,81816.1899456819,53778.8807492053,40874.917104495,81397.3239359858,222.42282123808,121.135252990493,42.8727298781855,33.833058806995,9.98137997802049,70.6998493673623,63.799021355827,7.25013729491194,78.1076941658385,105.264602207091,3426,yJB064_yJB077
32,10000,yJB077,5,Tube_038,1,1,BD_YNB,2,sucrose,yJB064,0,mCerulean,38.3,13,65492.0609209265,50853.3125326371,82054.5488485232,54173.9923616494,41176.935770235,81599.935278639,216.917297458159,112.100850000369,42.9972550431997,33.4188597644779,10.7844594056225,70.5135661009727,63.2531423560362,8.36370198227878,76.636804376482,102.406380903608,3830,yJB064_yJB077
33,10000,yJB077,5,Tube_039,1,1,BD_YNB,3,sucrose,yJB064,0,mCerulean,33.12,13,63519.9963485054,49996.1645531401,81177.3340126812,52551.4427945787,40571.0223429952,80620.4317090315,207.559147456787,124.987360235627,41.6866235578594,33.0638210925432,10.0858040791309,67.2660180266008,60.4701112424687,7.62885160683414,72.2674744989621,105.703884394855,3312,yJB064_yJB077
34,10000,yJB077,5,Tube_040,2,1,BD_YNB,1,sucrose,yJB064,0,mCerulean,43.74,13,64618.5996577119,50485.187471422,81613.2653320759,53671.2226618316,41069.1794695931,81090.6198934757,209.179326821536,124.711238332153,42.3514335544588,33.0112917130145,10.3602166593383,70.4256498920503,62.7791362042362,7.66318917805711,76.5574606733318,105.492687716388,4374,yJB064_yJB077
35,10000,yJB077,5,Tube_041,2,1,BD_YNB,2,sucrose,yJB064,0,mCerulean,44.55,13,64355.0989350975,50231.1881032548,81623.4786116372,53007.3423600699,40530.0855218855,81162.5393343154,209.789248156374,118.415361319273,43.6667136432151,34.2872551724138,10.4954633233199,71.3715918448665,63.522404102329,7.81994738370325,78.5777841068494,110.804838589814,4455,yJB064_yJB077
36,10000,yJB077,5,Tube_042,2,1,BD_YNB,3,sucrose,yJB064,0,mCerulean,45.76,13,65687.7106782073,51137.1566870629,81983.3630738158,51571.6333133724,39365.6678321678,81547.8369755245,206.541154332094,129.856926403213,42.7741130520963,32.1373337921542,10.566789323479,68.3458352736585,61.4324946910709,7.81112842400661,73.0451800329691,104.900939099314,4576,yJB064_yJB077
37,10000,yJB077,5,Tube_001,1,2,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,12.97,27,56331.6571463744,45105.0778720123,79690.451507686,42185.9505958763,32933.2066306862,80112.8939921453,258.789266465831,126.23194976267,40.1903233832676,31.3463812142445,9.76806234323542,65.0324349538503,57.7774324951901,6.37428978161418,66.6636875543623,80.9823792420426,1297,yJB064_yJB077
38,10000,yJB077,5,Tube_002,1,2,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,11.66,27,54411.7645801786,43779.3876500858,79247.7778630199,44682.0671638502,35063.204974271,79687.6555364226,277.632159346577,175.837954715035,47.1120621814306,34.7655048871028,9.26952755095761,69.503150210252,63.1732481545445,6.04111302839109,70.3349319603784,88.1932371486632,1166,yJB064_yJB077
39,10000,yJB077,5,Tube_003,1,2,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,12.06,27,60922.3751137703,48073.0729684909,80593.9016408841,47181.3855094846,36265.5240464345,80930.9019485904,227.114525240749,126.527495173845,42.920344122847,34.0091503816154,9.45710762555844,66.4164504673114,57.3618949677773,6.65746347531386,68.6745361972932,92.5815781024259,1206,yJB064_yJB077
40,10000,yJB077,5,Tube_004,2,2,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,15.76,27,61554.7428722091,48546.2131979695,80694.1949382337,43755.002885925,33725.5539340102,80909.8613826539,178.582110629545,91.5845296013487,43.5305203606216,34.5398108403056,9.60390246815202,65.5331030921396,57.9268410165485,6.69405777459046,75.3935770031688,101.165638180819,1576,yJB064_yJB077
41,10000,yJB077,5,Tube_005,2,2,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,14.5,27,56636.9950680226,45366.3682758621,79665.1721390086,43812.2271185513,34358.1779310345,80030.8383728448,245.053101798748,124.166095633363,42.2313478364137,33.3776340887217,8.54250554909386,63.0564849826709,56.8079189859208,6.03825959003723,68.2929854680302,91.6516319175335,1450,yJB064_yJB077
42,10000,yJB077,5,Tube_006,2,2,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,16.08,27,60519.7346476844,48259.0391791045,80083.4569778063,43939.3786880721,34158.1417910448,80414.3494150342,176.416141395545,95.6814541197585,42.0042450645039,34.0160409727895,9.15382360200189,62.1872109720893,55.5920347979947,6.30317734442514,71.8458941041397,101.535604645574,1608,yJB064_yJB077
43,10000,yJB077,10,Tube_013,1,2,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,21.81,27,54959.0990767656,44414.0009170105,79043.427808703,38667.8694962576,30540.7560751949,79629.8370586887,141.693621654403,81.8285548261056,42.6357906729607,34.9639521332411,8.85420536464709,64.0210440193447,58.6024509456683,5.68307063847232,72.1791986275729,101.441048810438,2181,yJB064_yJB077
44,10000,yJB077,10,Tube_014,1,2,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,20.88,27,53812.1917895321,43676.8568007663,78790.938775892,37302.2036373679,29676.4956896552,79345.7688951748,136.20462999718401,81.7329492696842,46.2035971862949,37.945105156038,8.57469953800996,66.2308058900641,60.2668821765523,5.14322381199843,72.0707913511002,107.825455766911,2088,yJB064_yJB077
45,10000,yJB077,10,Tube_015,1,2,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,23.35,27,53952.1379920453,43817.9400428266,78658.9630972297,39078.5240826168,31133.5730192719,79121.6822738223,148.001682059336,92.1922303583106,42.5892613452057,34.8109273743017,9.10367099672128,64.0808056851391,57.2561558513781,5.48286085804174,69.496887863964,97.6771768524379,2335,yJB064_yJB077
46,10000,yJB077,10,Tube_016,2,2,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,22.04,27,53781.3509040736,43568.6751361162,78663.2631791629,38846.2695998531,30941.0921052632,78885.8324645885,141.895330257808,95.4436836002517,45.4741508574171,37.7073809989305,8.97653443617044,65.3297367503453,59.4798023715415,5.59194099008223,71.1246975687996,103.95245971949,2204,yJB064_yJB077
47,10000,yJB077,10,Tube_017,2,2,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,23.38,27,52530.6125220959,43051.4131736527,78008.0753097599,37504.4796087234,30224.4037639008,78270.2935468349,134.867668482001,85.0404529130225,45.6683856254432,36.9974396068388,8.49847018524823,66.4604304726732,60.0213228205358,5.16677076647171,73.3496858499084,106.972410423205,2338,yJB064_yJB077
48,10000,yJB077,10,Tube_018,2,2,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,20.53,27,52918.1822756522,43416.0452995616,78007.1593590173,37457.7794825344,30214.6746225037,78318.69047012,139.56525961681,81.8797752728653,42.620121241584,35.6733474352195,8.38253075032307,63.6713158978223,58.9449127155554,5.19191347617071,71.1648015272695,110.193248344319,2053,yJB064_yJB077
49,10000,yJB077,20,Tube_025,1,2,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,26.82,27,52922.8811845317,43359.2028337062,78226.1557635393,34032.3955980482,27256.9563758389,78946.2309901659,117.63165174928,72.3156220405829,43.7162110745357,37.0971205731122,7.55766788680726,61.3405596871897,56.6508556611927,5.19135687204416,63.0255146390288,115.91236477639,2682,yJB064_yJB077
50,10000,yJB077,20,Tube_026,1,2,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,25.07,27,55295.8165803718,44916.1671320303,78997.1414212081,34335.4403974535,27297.3183087355,79544.7845968787,118.892639962275,69.6084160411372,42.7355711698733,37.0377614964926,7.21543507788336,59.8040447002552,55.1251484428646,5.08028672062596,62.3633245851545,120.804441133051,2507,yJB064_yJB077
